City,Cloudliness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Alfred,48,ZA,1554226144,83,-33.59,26.89,64,5.01
Port Keats,0,AU,1554226873,86,-14.25,129.55,74.69,6.4
Vao,20,EE,1554226544,77,59.1,26.19,31.4,5.73
Kwinana,0,AU,1554227001,72,-32.25,115.77,69.01,14.99
Ruteng,64,ID,1554226649,96,-8.61,120.46,71.45,3.15
Lincoln,75,GB,1554226845,75,53.23,-0.54,46.4,12.75
Sarka Ghat,0,IN,1554227019,52,31.7,76.73,56.6,4.38
Qaanaaq,0,GL,1554226758,74,77.48,-69.36,-0.46,8.41
Faanui,0,PF,1554226764,100,-16.48,-151.75,84.23,11.21
Kaliua,36,TZ,1554227327,87,-5.06,31.79,70.37,2.15
Huanren,0,CN,1554226746,72,41.26,125.37,16.82,2.15
Stanger,75,ZA,1554226916,93,-29.34,31.29,64.99,5.82
Novopskov,92,UA,1554226979,72,49.54,39.1,39.32,15.57
Sao Jose da Coroa Grande,88,BR,1554226581,90,-8.9,-35.15,81.71,8.08
Esperance,40,TT,1554226506,49,10.24,-61.45,89.6,17.22
Marshfield,1,US,1554226862,29,42.09,-70.71,53.01,14.99
Avarua,8,CK,1554224400,83,-21.21,-159.78,78.8,14.99
Port Shepstone,92,ZA,1554227312,100,-30.74,30.45,64.97,2.48
Bereda,40,ES,1554226441,66,43.27,-7.54,55,10.29
Jasper,0,US,1554226877,35,33.83,-87.28,64.4,3.94
Flinders,0,AU,1554227105,100,-34.58,150.85,59,2.71
Abilene,1,US,1554227056,34,32.45,-99.73,68,19.46
Shingu,12,JP,1554226983,100,33.72,135.99,47.69,16.46
Hovd,0,NO,1554226517,48,63.83,10.7,42.8,8.05
Lyngseidet,75,NO,1554226955,100,69.58,20.21,37.4,24.16
Mus,44,FR,1554226928,71,43.74,4.2,59,5.82
Fare,0,PF,1554227066,97,-16.7,-151.02,84.41,10.42
Aklavik,90,CA,1554224400,65,68.22,-135.01,6.8,11.41
Alugan,68,PH,1554227173,94,12.22,125.48,77.39,9.64
Bantou,88,CN,1554226567,96,26.22,117.49,53.54,2.15
Olinala,0,MX,1554226825,31,17.83,-98.85,86.12,2.59
Severo-Kurilsk,88,RU,1554226898,99,50.68,156.12,30.77,18.7
Goundam,0,ML,1554227380,17,16.42,-3.66,101.33,8.41
Dire,0,ET,1554227265,70,9.18,38.92,54.62,2.59
Kysyl-Syr,76,RU,1554226756,81,63.9,122.77,21.32,2.71
Petaluma,90,US,1554227048,100,38.23,-122.64,57.99,3.49
Ouesso,68,CG,1554227212,88,1.61,16.05,77.57,3.94
Sept-Iles,20,CA,1554226703,56,50.2,-66.38,34,16.11
Kizema,80,RU,1554226917,91,61.11,44.83,30.05,7.4
Vao,20,EE,1554226544,77,59.1,26.19,31.4,5.73
Tomohon,40,ID,1554226200,94,1.33,124.84,75.2,1.14
Sarakhs,0,TM,1554224400,82,36.54,61.16,60.8,2.59
Yulara,0,AU,1554224400,23,-25.24,130.99,62.6,6.93
Voi,88,KE,1554226872,97,-3.4,38.57,70.91,3.15
Walvis Bay,0,NA,1554224531,52,-22.95,14.51,69.8,8.05
Santa Marta,75,CO,1554226474,62,11.24,-74.21,90,9.17
Gilgit,0,PK,1554226896,98,35.92,74.31,25.37,0.47
Nuuk,90,GL,1554223800,93,64.17,-51.74,37.4,8.05
Sarakhs,0,TM,1554224400,82,36.54,61.16,60.8,2.59
Mayumba,80,GA,1554226782,90,-3.44,10.65,83.69,5.73
Sanchazi,40,CN,1554226884,93,30.43,103.62,61,2.24
Carmelo,40,UY,1554226212,55,-34,-58.28,87.8,12.75
Sokolo,56,ML,1554227141,23,14.74,-6.12,99.71,7.74
Sarka Ghat,0,IN,1554227019,52,31.7,76.73,56.6,4.38
Kirksville,75,US,1554225300,66,40.19,-92.58,50,11.41
Cherskiy,92,RU,1554226827,81,68.75,161.3,28.97,7.4
La Mana,40,EC,1554226263,59,-0.93,-79.22,66,4.7
Kijang,0,KR,1554224400,41,35.24,129.21,42.8,6.93
Pechora,88,RU,1554226639,81,65.12,57.16,30.68,9.42
Trincomalee,0,LK,1554227139,87,8.58,81.23,75.5,5.73
Lagoa,20,PT,1554226647,77,37.14,-8.45,66,9.17
Moindou,0,NC,1554226200,88,-21.69,165.68,68,2.24
Nezhinka,0,RU,1554224400,60,51.77,55.37,42.8,17.9
Vilcun,0,CL,1554226285,68,-38.65,-72.23,71.01,10.29
Finschhafen,68,PG,1554227092,97,-6.6,147.85,72.89,0.58
Nanyang,56,CN,1554227387,89,33,112.53,49.04,4.5
Codrington,75,AU,1554226896,93,-28.95,153.24,64.4,5.82
Margate,0,AU,1554226455,62,-43.03,147.26,60.01,8.05
Barrow,0,AR,1554226447,48,-38.31,-60.23,75.14,19.6
Richards Bay,92,ZA,1554227320,100,-28.77,32.06,65.6,3.71
Japura,88,ID,1554226999,97,-0.42,102.29,71.9,2.37
Torbay,20,CA,1554226714,37,47.66,-52.73,39,29.97
Baghdad,0,IQ,1554224400,55,33.3,44.38,64.4,4.7
Karratha,0,AU,1554227066,89,-20.74,116.85,71.27,3.04
Moerai,36,PF,1554227102,93,-22.43,-151.33,80.63,14.67
Lichinga,20,MZ,1554226993,79,-13.3,35.25,70.55,5.95
Goderich,76,CA,1554226707,71,43.74,-81.71,46.99,15.99
Nikolskoye,0,RU,1554226565,55,59.7,30.79,36,4.47
Thompson,75,CA,1554224400,56,55.74,-97.86,14,14.99
Kaitangata,8,NZ,1554226760,70,-46.28,169.85,46,3
Sisophon,20,KH,1554227371,83,13.59,102.97,73.79,2.37
Wendo,80,ET,1554227106,47,6.6,38.42,69.02,3.38
La Asuncion,75,EC,1554224400,52,-1.64,-78.74,69.8,9.17
Marsh Harbour,0,BS,1554226604,94,26.54,-77.06,78.02,14
Ojinaga,1,US,1554227156,29,29.56,-104.41,72,3.49
Luoyang,56,CN,1554227120,48,34.66,112.42,49.49,6.96
Bontang,76,ID,1554226934,100,0.12,117.47,76.4,5.06
Upernavik,44,GL,1554226318,100,72.79,-56.15,14.03,19.04
Goderich,76,CA,1554226707,71,43.74,-81.71,46.99,15.99
Labuhan,64,ID,1554227007,97,-2.54,115.51,72.35,2.04
Airai,56,TL,1554226433,85,-8.93,125.41,69.29,0.13
Guerrero Negro,20,MX,1554227028,51,27.97,-114.04,70.46,3.6
Aasiaat,92,GL,1554227326,89,68.71,-52.87,30.14,27.09
Tiksi,48,RU,1554226805,75,71.64,128.87,4.94,2.37
Lichinga,20,MZ,1554226993,79,-13.3,35.25,70.55,5.95
Naze,75,NG,1554224400,70,5.43,7.07,87.8,8.05
Aripuana,36,BR,1554227021,74,-9.17,-60.63,92.24,2.93
Saint George,0,GR,1554225600,58,39.45,22.34,59,5.95
Yuanping,0,CN,1554227134,71,38.72,112.71,24.92,2.15
North Bend,90,US,1554226828,93,43.41,-124.22,55.99,3.36
